사업장,종목,프로그램명,요일 및 시간,대상,단가,기간,프로그램 접수 안내 ,프로그램 할인 안내
꿈나무종합타운,공통 4차산업,스마트폰하나로유튜브 크리에이터 완성 (토 14:00-14:50),토 14:00~14:50,"초등-고등,성인",150000(초등-고등)/180000(성인),3개월,"평일 : 09:00~19:00, 재등록 : 17일~22일, 반변경 : 23일, 신규 : 24일~익월16일, 온라인 접수)","장애인 50%, 국가유공자 50%, 기초수급자 50%, 다자녀(2명) 50%, 경로(65세) 20%, 자원봉사자(용산구) 10%"
꿈나무종합타운,성인 4차산업,유튜브 크리에이터 (월 19:00-19:50),월 19:00~19:50,성인,"180,000(성인)",3개월,,
꿈나무종합타운,청소년 4차산업,스마트폰하나로유튜브 크리에이터 완성 (토 15:00-15:50),토 15:00~15:50,"초등-고등,성인",150000(초등-고등)/180000(성인),3개월,,
꿈나무종합타운,청소년 4차산업,스마트폰하나로유튜브 크리에이터 완성 (토 16:00-16:50),토 16:00~16:50,"초등-고등,성인",150000(초등-고등)/180000(성인),3개월,,
꿈나무종합타운,청소년 4차산업,유튜브 크리에이터 (월 16:00-16:50),월 16:00~16:50,"초등-고등,성인",150000(초등-고등)/180000(성인),3개월,,
꿈나무종합타운,청소년 4차산업,유튜브 크리에이터 (월 17:00-17:50),월 17:00~17:50,"초등-고등,성인",150000(초등-고등)/180000(성인),3개월,,
꿈나무종합타운,청소년 4차산업,융합소프트웨어 및 코딩 (수 17:00-17:50),수 17:00~17:50,전체,50000(전체),1개월,,
꿈나무종합타운,청소년 4차산업,융합소프트웨어 및 코딩 (수 18:00-18:50),수 18:00~18:50,전체,50000(전체),1개월,,
꿈나무종합타운,청소년 4차산업,AI 레고 로봇 (목 16:00-16:50),목 16:00~16:50,전체,65000(전체) 재료비 별도,1개월,,
꿈나무종합타운,청소년 4차산업,AI 레고 로봇 (목 17:00-17:50),목 17:00~17:50,전체,65000(전체) 재료비 별도,1개월,,
꿈나무종합타운,청소년 4차산업,AI 레고 로봇 (목 18:00-18:50),목 18:00~18:50,전체,65000(전체) 재료비 별도,1개월,,
꿈나무종합타운,청소년 4차산업,AI 레고 로봇 (월 16:00-16:50),월 16:00~16:50,전체,65000(전체) 재료비 별도,1개월,,
꿈나무종합타운,청소년 4차산업,AI 레고 로봇 (월 17:00-17:50),월 17:00~17:50,전체,65000(전체) 재료비 별도,1개월,,
꿈나무종합타운,청소년 4차산업,Steam Maker (금 17:00-17:50),금 17:00~17:50,전체,50000(전체),1개월,,
꿈나무종합타운,청소년 4차산업,Steam Maker (금 18:00-18:50),금 18:00~18:50,전체,50000(전체),1개월,,
꿈나무종합타운,성인 교육문화,기초소묘&펜드로잉 (금 10:00-11:30),금 10:00~11:30,중등-고등,120000(전체),3개월,,
꿈나무종합타운,성인 교육문화,꿈키움밴드 [상담후접수] (목 20:00-21:40),목 20:00~21:40,중등-고등,195000(중등-고등)/210000(성인),3개월,,
꿈나무종합타운,성인 교육문화,북유럽홈패션 (수 10:30-12:20),수 10:30~12:20,중등-고등,110000(전체),3개월,,
꿈나무종합타운,성인 교육문화,성악&가곡교실 (금 19:00-20:20),금 19:00~20:20,중등-고등,180000(전체),3개월,,
꿈나무종합타운,성인 교육문화,성인드럼교실 (수 12:00-12:50),수 12:00~12:50,중등-고등,137500(전체),3개월,,
꿈나무종합타운,성인 교육문화,성인드럼교실 (수 13:00-13:50),수 13:00~13:50,중등-고등,137500(전체),3개월,,
꿈나무종합타운,성인 교육문화,성인드럼교실 (수 14:00-14:50),수 14:00~14:50,중등-고등,137500(전체),3개월,,
꿈나무종합타운,성인 교육문화,성인드럼교실 (수 19:00-19:50),수 19:00~19:50,"초등,중등-성인",110000(초등)/129250(중등-성인),3개월,,
꿈나무종합타운,성인 교육문화,성인바이올린소그룹(월 12:00-12:50),월 12:00~12:50,전체,180000(전체),3개월,,
꿈나무종합타운,성인 교육문화,성인바이올린소그룹(월 13:00-13:50),월 13:00~13:50,전체,180000(전체),3개월,,
꿈나무종합타운,성인 교육문화,"성인피아노교실 (월,수 10:00-10:50)","월,수 10:00~10:50",중등-고등,165000(초급)/178750(중급)/192500(고급),3개월,,
꿈나무종합타운,성인 교육문화,손은영노래교실 (월 14:00-16:00),월 14:00~16:00,전체,60000(전체),3개월,,
꿈나무종합타운,성인 교육문화,오일파스텔&pop캘리 (화 10:00-12:00),화 10:00~12:00,중등-고등,120000(전체),3개월,,
꿈나무종합타운,성인 교육문화,오전생활도예 (월 10:30-12:30),월 10:30~12:30,중등-고등,135000(전체),3개월,,
꿈나무종합타운,성인 교육문화,저녁힐링도예 (월 19:00-21:00),월 19:00~21:00,중등-고등,135000(전체),3개월,,
꿈나무종합타운,성인 교육문화,코드로배우는반주법 (수 20:00-20:50),수 20:00~20:50,중등-고등,165000(전체),3개월,,
꿈나무종합타운,성인 교육문화,"코드로배우는반주법 (월,수 11:00-11:50)","월,수 11:00~11:50",중등-고등,220000(전체),3개월,,
꿈나무종합타운,성인 교육문화,"코드로배우는반주법 (월,수 18:00-18:50)","월,수 18:00~18:50",중등-고등,230000(전체),3개월,,
꿈나무종합타운,성인 교육문화,클래식피아노&반주법(화목20:00-20:50),"화,목 20:00~20:50",전체,240000(전체),3개월,,
꿈나무종합타운,성인 교육문화,클래식피아노&반주법(화목21:00-21:50),"화,목 21:00~21:50",전체,240000(전체),3개월,,
꿈나무종합타운,성인 교육문화,토요피아노 (토 11:00-11:50),토 11:00~11:50,중등-고등,135000(초급)/150000(중급)/165000(고급),3개월,,
꿈나무종합타운,성인 교육문화,통기타&우쿨렐레 (목 19:00-19:50),목 19:00~19:50,"초등,중등-성인",120000(초등)/126000(중등-성인),3개월,,
꿈나무종합타운,성인 교육문화,"피아노 (월,수 19:00-19:50)","월,수 19:00~19:50",중등-고등,172500(초급)/186880(중급)/201250(고급),3개월,,
꿈나무종합타운,성인 교육문화,피아노개인연습 (월-금 09:00-19:50),"월,화,수,목,금 09:00~19:50",중등-고등,30000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"댄스스포츠 [웰빙] (화,목 13:00-14:30)","화,목 13:00~14:30",전체,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,라인댄스 (월화수목 09:00-09:50),"월,화,수,목 09:00~09:50",중등-고등,50000(전체),1개월,,
꿈나무종합타운,성인 생활체육,라인댄스 (월화수목 10:00-10:50),"월,화,수,목 10:00~10:50",중등-고등,"50,000(전체)",1개월,,
꿈나무종합타운,성인 생활체육,라인댄스 [저녁] (월화수목 19:00-19:50),"월,화,수,목 19:00~19:50",전체,50000(전체),1개월,,
꿈나무종합타운,성인 생활체육,라인댄스 [초급반] (화목 11:00-12:20),"화,목 11:00~12:20",중등-고등,60000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"성인탁구교실 (화,목 10:00-10:50)","화,목 10:00~10:50",중등-고등,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"성인탁구교실 (화,목 11:00-11:50)","화,목 11:00~11:50",중등-고등,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"소도구필라테스 (화,목 09:00-09:50)","화,목 09:00~09:50",전체,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"소도구필라테스 (화,목 10:00-10:50)","화,목 10:00~10:50",전체,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"소도구필라테스 (화,목 11:00-11:50)","화,목 11:00~11:50",중등-고등,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"소도구필라테스 (화,목 20:00-20:50)","화,목 20:00~20:50",중등-고등,40000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"소도구필라테스 (화,목 21:00-21:50)","화,목 21:00~21:50",중등-고등,40000(전체),1개월,,
꿈나무종합타운,성인 생활체육,수요SNPE집중반 (수 20:00-21:40),수 20:00~21:40,중등-고등,45000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"스트릿댄스(힙합) 19시 (화,목 19:00-19:50)","화,목 19:00~19:50",전체,41000(전체),1개월,,
꿈나무종합타운,성인 생활체육,시니어모델워킹반 [중급] (금 11:30-12:50),금 11:30~12:50,전체,50000(전체),1개월,,
꿈나무종합타운,성인 생활체육,시니어모델워킹반 [초급] (금 10:00-11:20),금 10:00~11:20,전체,50000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"인&양요가 (월,수 20:00-20:50)","월,수 20:00~20:50",중등-고등,39380(전체),1개월,,
꿈나무종합타운,성인 생활체육,"인&양요가 (월,수 21:00-21:50)","월,수 21:00~21:50",중등-고등,39380(전체),1개월,,
꿈나무종합타운,성인 생활체육,탁구 PT (토 12:00-13:50),토 12:00~13:50,전체,60000(전체),1개월,,
꿈나무종합타운,성인 생활체육,토요탁구 (토 09:00-09:50),토 09:00~09:50,전체,36000(전체),1개월,,
꿈나무종합타운,성인 생활체육,토요탁구 (토 10:00-10:50),토 10:00~10:50,전체,36000(전체),1개월,,
꿈나무종합타운,성인 생활체육,토요탁구 (토 11:00-11:50),토 11:00~11:50,전체,36000(전체),1개월,,
꿈나무종합타운,성인 생활체육,토요SNPE집중반 (토 09:00-10:40),토 09:00~10:40,전체,60000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"트램폴린점핑휘트니스 (월,수,금 09:00-09:50)","월,수,금 09:00~09:50",중등-고등,65000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"트램폴린점핑휘트니스 (월,수,금 10:00-10:50)","월,수,금 10:00~10:50",중등-고등,65000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"트램폴린점핑휘트니스 (월,수,금 19:00-19:50)","월,수,금 19:00~19:50",중등-고등,65000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"트램폴린점핑휘트니스 (월,수,금 20:00-20:50)","월,수,금 20:00~20:50",중등-고등,65000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"호흡과함께움직임요가 (월,수,금 09:00-09:50)","월,수,금 09:00~09:50",중등-고등,47000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"호흡과함께움직임요가 (월,수,금 10:00-10:50)","월,수,금 10:00~10:50",중등-고등,47000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"호흡과함께움직임요가 (월,수,금 11:00-11:50)","월,수,금 11:00~11:50",중등-고등,47000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"K-POP댄스 20시 (화,목 20:00-20:50)","화,목 20:00~20:50",전체,41000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"K-POP방송댄스11시 (월,수 11:00-11:50)","월,수 11:00~11:50",전체,35880(전체),1개월,,
꿈나무종합타운,성인 생활체육,"SNPE바른자세운동 (월,수 19:00-19:50)","월,수 19:00~19:50",전체,41130(전체),1개월,,
꿈나무종합타운,성인 생활체육,"SNPE바른자세운동 (화,목 10:00-10:50)","화,목 10:00~10:50",중등-고등,47000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"SNPE바른자세운동 (화,목 11:00-11:50)","화,목 11:00~11:50",중등-고등,47000(전체),1개월,,
꿈나무종합타운,성인 생활체육,"SNPE바른자세운동 (화,목 12:00-12:50)","화,목 12:00~12:50",중등-고등,47000(전체),1개월,,
꿈나무종합타운,청소년 교육문화,노부영중급 (목 16:50-17:30),목 16:50~17:30,전체,117000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,노부영초급 (목 16:00-16:40),목 16:00~16:40,초등,117000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,독서미술 (목 16:00-16:50),목 16:00~16:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,독서미술 (목 17:00-17:50),목 17:00~17:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,드럼교실 (수 17:00-17:50),수 17:00~17:50,"초등,중등-성인",110000(초등)/129250(중등-성인),3개월,,
꿈나무종합타운,청소년 교육문화,드럼교실 (수 18:00-18:50),수 18:00~18:50,"초등,중등-성인",110000(초등)/129250(중등-성인),3개월,,
꿈나무종합타운,청소년 교육문화,문해력UP!그림책공감스피치(월16:00-16:50),월 16:00~16:50,전체,150000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,문해력UP!그림책공감스피치(월17:00-17:50),월 17:00~17:50,전체,150000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,"미술창작발전소A [기초소묘,수채화] (토 10:00-10:50)",토 10:00~10:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,미술창작발전소B [꿈나무반] (토 11:00-11:50),토 11:00~11:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,"미술창작발전소C [기초소묘,수채화] (토 12:00-12:50)",토 12:00~12:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,바이올린 (화 15:00-15:50),화 15:00~15:50,전체,126000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,바이올린 (화 16:00-16:50),화 16:00~16:50,전체,126000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,바이올린 (화 17:00-17:50),화 17:00~17:50,전체,126000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,바이올린 (화 18:00-18:50),화 18:00~18:50,전체,126000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,브레인 레고스쿨 (화 16:00-16:50),화 16:00~16:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,사이언스 중급 레고스쿨 (화 18:00-18:50),화 18:00~18:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,사이언스 초급 레고스쿨 (화 17:00-17:50),화 17:00~17:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,아이놀이수학 (금 15:00-15:50),금 15:00~15:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,아이놀이수학 (금 16:00-16:50),금 16:00~16:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,아이놀이수학 (금 17:00-17:50),금 17:00~17:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,어린이도예교실 (월 15:00-15:50),월 15:00~15:50,초등-고등,120000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,어린이도예교실 (월 16:00-16:50),월 16:00~16:50,전체,120000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,어린이도예교실 (월 17:00-17:50),월 17:00~17:50,전체,120000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,영어미술(영어로수업진행)(수16:00-16:50),수 16:00~16:50,전체,137500(전체),3개월,,
꿈나무종합타운,청소년 교육문화,영어미술(영어로수업진행)(수17:00-17:50),수 17:00~17:50,전체,137500(전체),3개월,,
꿈나무종합타운,청소년 교육문화,영재바둑교실 (금 16:00-16:50),금 16:00~16:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,영재바둑교실 (금 17:00-17:50),금 17:00~17:50,전체,105000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,종이접기&클레이 (화 16:00-16:50),화 16:00~16:50,전체,93000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,종이접기&클레이 (화 17:00-17:50),화 17:00~17:50,전체,93000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,체리쌤의꼬마셰프요리 (목 16:00-16:50),목 16:00~16:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,체리쌤의꼬마셰프요리 (목 17:00-17:50),목 17:00~17:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,체리쌤의꼬마셰프요리 (화 16:00-16:50),화 16:00~16:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,체리쌤의꼬마셰프요리 (화 17:00-17:50),화 17:00~17:50,전체,90000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,초등보컬트레이닝 (금 17:00-17:50),금 17:00~17:50,전체,126000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,초등보컬트레이닝 (금 18:00-18:50),금 18:00~18:50,전체,126000(전체),3개월,,
꿈나무종합타운,청소년 교육문화,초등준비리딩스타트A(파닉스)(목17:40-18:20),목 17:40~18:20,전체,118800(전체),3개월,,
꿈나무종합타운,청소년 교육문화,초등준비리딩스타트A(파닉스)(토11:00-11:40),토 11:00~11:40,전체,118800(전체),3개월,,
꿈나무종합타운,청소년 교육문화,토요피아노 (토 12:00-12:50),토 12:00~12:50,"초급,중급,고급",135000(초급)/150000(중급)/165000(고급),3개월,,
꿈나무종합타운,청소년 교육문화,토요피아노 (토 13:00-13:50),토 13:00~13:50,"초급,중급,고급",135000(초급)/150000(중급)/165000(고급),3개월,,
꿈나무종합타운,청소년 교육문화,토요피아노 (토 14:00-14:50),토 14:00~14:50,"초급,중급,고급",135000(초급)/150000(중급)/165000(고급),3개월,,
꿈나무종합타운,청소년 교육문화,통기타&우쿨렐레 (목 17:00-17:50),목 17:00~17:50,"초등,중등-성인",120000(초등)/126000(중등-성인),3개월,,
꿈나무종합타운,청소년 교육문화,통기타&우쿨렐레 (목 18:00-18:50),목 18:00~18:50,"초등,중등-성인",120000(초등)/126000(중등-성인),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (월,수,금 15:00-15:50)","월,수,금 15:00~15:50",성인,180000(초급)/195000(중급)/210000(고급),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (월,수,금 16:00-16:50)","월,수,금 16:00~16:50",성인,180000(초급)/195000(중급)/210000(고급),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (월,수,금 17:00-17:50)","월,수,금 17:00~17:50",성인,180000(초급)/195000(중급)/210000(고급),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (화,목 15:00-15:50)","화,목 15:00~15:50",성인,143750(초급)/158130(중급)/172500(고급),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (화,목 16:00-16:50)","화,목 16:00~16:50",성인,143750(초급)/158130(중급)/172500(고급),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (화,목 17:00-17:50)","화,목 17:00~17:50",성인,143750(초급)/158130(중급)/172500(고급),3개월,,
꿈나무종합타운,청소년 교육문화,"피아노 (화,목 18:00-18:50)","화,목 18:00~18:50","초급,중급,고급",143750(초급)/158130(중급)/172500(고급),3개월,,
꿈나무종합타운,청소년 교육문화,화목소그룹피아노 (화목 19:00-19:50),"화,목 19:00~19:50","초급,중급,고급",215630(초급)/230000(중급)/244380(고급),3개월,,
꿈나무종합타운,청소년 생활체육,금요트램폴린점핑휘트 (금 16:00-16:50),금 16:00~16:50,전체,30000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,금요트램폴린점핑휘트 (금 17:00-17:50),금 17:00~17:50,전체,30000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,리듬빽리듬체조 (토 10:00-10:50),토 10:00~10:50,전체,50000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,리듬빽리듬체조 (토 11:00-11:50),토 11:00~11:50,전체,55000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,리듬빽리듬체조상급(토09:00-09:50),토 09:00~09:50,전체,60000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"어린이발레 (월,수 17:00-17:50)","월,수 17:00~17:50",성인,49000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"유아발레 (월,수 15:00-15:50)","월,수 15:00~15:50",초등,56000(초등),1개월,,
꿈나무종합타운,청소년 생활체육,"유아발레 (월,수 16:00-16:50)","월,수 16:00~16:50",전체,49000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"유아발레 (화,목 16:00-16:50)","화,목 16:00~16:50",전체,56000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"유아발레 (화,목 17:00-17:50)","화,목 17:00~17:50",전체,56000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,인라인스케이트 (금 16:00-16:50),금 16:00~16:50,전체,35000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,인라인스케이트 (금 17:00-17:50),금 17:00~17:50,전체,35000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,인라인스케이트 (금 18:00-18:50),금 18:00~18:50,전체,35000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,인라인스케이트 (월 16:00-16:50),월 16:00~16:50,전체,35000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,인라인스케이트 (월 17:00-17:50),월 17:00~17:50,전체,35000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,인라인스케이트 (월 18:00-18:50),월 18:00~18:50,전체,35000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,크는나무유아축구교실 (수 16:00-16:50),수 16:00~16:50,전체,30000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,크는나무음악줄넘기 (수 17:00-17:50),수 17:00~17:50,전체,22500(전체),1개월,,
꿈나무종합타운,청소년 생활체육,크는나무음악줄넘기 (수 18:00-18:50),수 18:00~18:50,전체,22500(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"트램폴린점핑휘트니스 (화,목 16:00-16:50)","화,목 16:00~16:50",성인,45000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"트램폴린점핑휘트니스 (화,목 17:00-17:50)","화,목 17:00~17:50",성인,45000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,"I-DOL!방송댄스 (화,목 18:00-18:50)","화,목 18:00~18:50",전체,32000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,K-POP 댄스 (토 13:00-13:50),토 13:00~13:50,전체,30000(전체),1개월,,
꿈나무종합타운,청소년 생활체육,K-POP 댄스 (토 14:00-14:50),토 14:00~14:50,전체,30000(전체),1개월,,
꿈나무종합타운,특화(요리),1급바리스타자격증 [과정이수형] (월 19:00-21:00),월 19:00~21:00,중등-고등,160000(전체),3개월,,
꿈나무종합타운,특화(요리),2급바리스타자격증 [오전반과정이수형] (화 10:00-12:00),화 10:00~12:00,전체,140000(전체),3개월,,
꿈나무종합타운,특화(요리),2급바리스타자격증 [저녁반과정이수형] (화 19:00-21:00),화 19:00~21:00,전체,140000(전체),3개월,,
꿈나무종합타운,특화(요리),김치&계절저장요리 (월 10:00-12:00),월 10:00~12:00,전체,40000(전체),1개월,,
꿈나무종합타운,특화(요리),매일행복 실속반찬통 (수 10:00-13:00),수 10:00~13:00,중등-고등,82500(전체),3개월,,
꿈나무종합타운,특화(요리),매일행복 실속반찬통 (월 13:00-16:00),월 13:00~16:00,전체,90000(전체),3개월,,
꿈나무종합타운,특화(요리),음식으로떠나는세계요리 (수 19:00-22:00),수 19:00~22:00,중등-고등,82500(전체),3개월,,
꿈나무종합타운,특화(요리),홈카페바리스타클래스 (목 19:00-21:00),목 19:00~21:00,중등-고등,150000(전체),3개월,,
